/N16/D X,/N16/D Y
0,2.61999834007277e-14
1.2e-09,5.472090257085258e-10
2.4e-09,9.66752567747342e-10
3.6e-09,1.285108973934812e-09
4.8e-09,1.529311359810361e-09
6e-09,1.705245285564554e-09
7.2e-09,1.827725591984307e-09
8.399999999999999e-09,1.904062435881399e-09
9.6e-09,1.94054264999691e-09
1.08e-08,1.942474568887806e-09
1.2e-08,1.91454961310641e-09
1.32e-08,1.860446833792074e-09
1.44e-08,1.784175548889077e-09
1.56e-08,1.689002122720369e-09
1.68e-08,1.578133177902348e-09
1.800000000000001e-08,1.454665498484435e-09
1.920000000000001e-08,1.321641232330941e-09
2.040000000000001e-08,1.182094446794115e-09
2.160000000000001e-08,1.039092650461426e-09
2.280000000000001e-08,8.957750342493819e-10
2.400000000000001e-08,7.553854240921674e-10
2.520000000000001e-08,6.212895919865201e-10
2.640000000000001e-08,4.969488488497864e-10
2.760000000000001e-08,3.857897625656085e-10
2.880000000000001e-08,2.908723283786288e-10
3.000000000000001e-08,2.142791807056161e-10
3.120000000000001e-08,1.563639355257238e-10
3.240000000000001e-08,1.153906540258995e-10
3.36e-08,8.809355146365244e-11
3.48e-08,7.087176105258308e-11
3.6e-08,6.075069129935271e-11
3.72e-08,5.57128745081485e-11
3.839999999999999e-08,5.461828468725193e-11
3.959999999999999e-08,5.702357503176007e-11
4.079999999999999e-08,6.305114463357843e-11
4.199999999999999e-08,7.333933682679409e-11
4.319999999999998e-08,8.905675105706895e-11
4.439999999999998e-08,1.119446509395616e-10
4.559999999999998e-08,1.443371984174136e-10
4.679999999999998e-08,1.891017589383023e-10
4.799999999999997e-08,2.494593151066446e-10
4.919999999999997e-08,3.286991623270053e-10
5.039999999999997e-08,4.298670785814142e-10
5.159999999999997e-08,5.555287983468383e-10
5.279999999999996e-08,7.076679494852507e-10
5.399999999999996e-08,8.877083734842484e-10
5.519999999999996e-08,1.09660874447705e-09
5.639999999999996e-08,1.334976911446084e-09
5.759999999999995e-08,1.603172086839866e-09
5.879999999999995e-08,1.901383313338274e-09
5.999999999999999e-08,2.22968450677553e-09
